sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
78,Rajasthan,BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
79,Madhya Pradesh,BHARAT SINGH KUSHWAH,GWALIOR,151455276.04,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
80,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,AMRELI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
81,Gujarat,Bharatsinhji Shankarji Dabhi,PATAN,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
82,Madhya Pradesh,BHARTI PARDHI,BALAGHAT,154398389.01,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
83,Maharashtra,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
84,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
85,Chhattisgarh,BHOJRAJ NAG,KANKER(ST),164672734.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
86,Uttar Pradesh,Bhola Singh,BULANDSHAHR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
87,Maharashtra,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
88,Andhra Pradesh,Bhupathiraju Srinivasa varma,NARASAPURAM,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
89,Rajasthan,BHUPENDER YADAV,ALWAR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
