work_id,dataset_count,datasets
WS/MP18153/2025-2026/187330,1,LS_completed
WS/MP18045/2025-2026/151622,2,LS_completed|RS_sanctioned
WS/MP18051/2025-2026/195243,1,LS_completed
WS/MP18045/2025-2026/151623,2,LS_completed|RS_sanctioned
WS/MP18325/2024-2025/162513,2,LS_completed|RS_sanctioned
WS/MP18045/2025-2026/151624,2,LS_completed|RS_sanctioned
WS/MP18045/2025-2026/151625,2,LS_completed|RS_sanctioned
WS/MP541/2025-2026/153740,2,LS_completed|RS_sanctioned
WS/MP18371/2025-2026/209334,1,LS_completed
WS/MP18371/2025-2026/209847,1,LS_completed
WS/MP18039/2025-2026/162175,2,LS_completed|RS_sanctioned
WS/MP18014/2024-2025/167505,1,LS_completed
